"CommodityType","HS.Code","Goods.Comm..Dsc.1","Goods.Comm..Dsc.","total","principleExportCategory","Principle.ReExportsCategory","principleImportCategory"
"IMPORT","33062000","Yarn used to clean between the teeth (dental floss),in individual retail packages","INDIVIDUAL PACKING FINE FLOSS STICK",2526,"Other products","Other products ","Other Imports"
"IMPORT","39269000","Others","ORIGINAL REMOTE CONTROL KEY SHELL",2524,"Other products","Other products ","Other Imports"
"IMPORT","20098100","Cranberries (Vaaccinium macrocarpo, Vaccinium oxycoccos, Vaccinium vitis-idaea) juice","JUICE POWDER",2520,"Other products","Other products ","Other Imports"
"IMPORT","94052900","Other","VANITY LIGHTS",2514,"Other products","Other products ","Other Imports"
"IMPORT","84231000","Personal weighing machines incl. baby scales, household scales","SCALES",2502,"Other products","Other products ","Other Imports"
"IMPORT","96200000","Monopods, bipods, tripods and similar articles.","SELF TIMER POLE",2502,"Other products","Other products ","Other Imports"
"IMPORT","95030000","Tricycles, scooters, pedal cars toys, etc; dolls' carriages; toys; recre...puzzels ...","kids toys",2500,"Other products","Other products ","Other Imports"
"IMPORT","20021000","Tomatoes, whole or in pieces","CHOPPED TOMATOES ITA DICED",2498,"Other products","Other products ","Other Imports"
"IMPORT","20081900","Other, including mixtures","COCONUT CREAM LIGHT",2491,"Other products","Other products ","Other Imports"
"IMPORT","90268000","Other instruments or apparatus","SPIRIT LEVEL / SQUARE",2490,"Other products","Other products ","Other Imports"
"IMPORT","39199000","Other","ELECTRIC TAPE",2485,"Other products","Other products ","Other Imports"
"IMPORT","42022900","Other","SCHOOL BAGS",2483,"Other products","Other products ","Other Imports"
"IMPORT","21069000","Other","Chryssanthemum",2477,"Other products","Other products ","Other Imports"
"IMPORT","84841000","Gaskets and similar joints of metal sheeting combined with other material or of two...","YAMAHA GASKET",2474,"Other products","Other products ","Other Imports"
"IMPORT","84223000","Machinery for filling,closing,sealing,or labeling bottles,cans,bags,...,for aerating","PLASTIC SEALING MACHINE",2462,"Other products","Other products ","Other Imports"
"IMPORT","68051000","On a base of woven textile fabric only","SAND PAPER",2455,"Other products","Other products ","Other Imports"
"IMPORT","39269000","Others","PLASTIC APRON, SPRAY NOZZLE",2449,"Other products","Other products ","Other Imports"
"IMPORT","48201000","Registers, account books,order and receipt books, letter pads....,","NOTEBOOKS",2447,"Other products","Other products ","Other Imports"
"IMPORT","30059000","Other","WADDING, GAUZE",2441,"Other products","Other products ","Other Imports"
"IMPORT","96035000","Other brushes constituting parts of machines, appliances or vehicles","BRUSH",2439,"Other products","Other products ","Other Imports"
"IMPORT","82152000","Other sets of assorted articles","TABLE/ KITCHENWARE: BASE METAL",2435,"Other products","Other products ","Other Imports"
"IMPORT","85366900","Other","PLUG WALL",2419,"Other products","Other products ","Other Imports"
"IMPORT","33061000","Dentifrices","3 POLISHING TOOTHPASTE",2416,"Other products","Other products ","Other Imports"
