"HS.Code","HS.Code_6","CE.CD","CO","SITC_1","HS.Code_2","Office","Reg.Ref","Reg..Date","Type","CP4","CP3","Declarant","Con_cod","Con...Exp.name","Shipper...Buyer.name","Itm..","SITC","PRF","Goods.Comm..Dsc.1","Goods.Comm..Dsc.","Wgt..Gross","Wgt..Net","Pkg..","Pkg..type","Supp.Qty","Supp","TOD","Stat..Value","IMD","VAT","IEX","DEX","EXD","OED","ITEM.INSURANCE","FREIGHT","RawDataRowID","HS.Code_4","SITC_3","Year","Month","Day","Mode.of.Transport","HS.Section","SITC.description","IMPORT.CTY.CD","CTY_Origin","IMPORT.COUNTRY","IMPORT.REGION","IMPORT.REG.","IMPORT.PARTNER.COUNTRIES","CTY_Dest","EXPORT.CTY.CD","EXPORT.COUNTRY","EXPORT.REGION","EXPORT.REG.","EXPORT.PARTNER.COUNTRIES","TAR_ALL","TAR_DSC","Principle.Exports","Principle.ReExports","Principle.Imports","Classifications.Combined","Unit.Qty","Import.Duty.Rate","X","X.1","BEC4","Description","CommodityType","Unhealthy.Focus.Food.Category","Food.sub.category","Product"
"02071490",20714,"SG","AU",0,2,"VSEA","2024 / C / 9474",NA,"IM / 4",4000,0,803753,"126254","ESAH CORPORATION
","ESFIRA PTE LTD - 5189
",2,12.35,NA,"Other","CHICKEN GIBLETS 15KGS","1,839.99","1,500.00","0","Cartons","1,500.00","KGM","CIF",318785,"47,820.00","59,490.00","30,000.00",0,"0",0,0,0,1606,207,12,2024,"December",16,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","SG","SG","SINGAPORE","ASIA",3,"SINGAPORE","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"NZ","NZ",0,2,"VSEA","2024 / C / 9505",NA,"IM / 4",4000,0,113577,"113577","AU BON MARCHE
","TEGEL FOODS LIMITED
",3,12.35,NA,"Other","FZN CHICKEN CUTS","8,191.76","8,191.76","663","Cartons","8,260.00","KGM","FOB",2429986,"364,500.00","443,955.00","165,200.00",0,"0",0,4246,446355,493,207,12,2024,"December",16,"SEA","I.Live animals: animal products","Food & Live Animals","NZ","NZ","NEW ZEALAND","OCEANIA",5,"NEW ZEALAND","NZ","NZ","NEW ZEALAND","OCEANIA",5,"NEW ZEALAND","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9402",NA,"IM / 4",4000,0,113577,"113577","AU BON MARCHE
","GEOFFREY HUGHES ",8,12.35,NA,"Other","CHICKEN CUTS 1KG-2KG","5,003.95","4,452.00","310","Cartons","4,452.00","KGM","CFR",1145402,"171,810.00","210,940.00","89,040.00",0,"0",0,2001,0,846,207,12,2024,"December",13,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9380",NA,"IM / 4",4000,0,437811,"437811","CHUAN STORE
","ANTAP ITERNATIONAL PTY ",2,12.35,NA,"Other","CHICKEN GIBLETS","1,085.00","1,050.00","70","Cartons","1,050.00","KGM","CFR",296428,"44,465.00","54,285.00","21,000.00",0,"0",0,0,0,1679,207,12,2024,"December",12,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9380",NA,"IM / 4",4000,0,437811,"437811","CHUAN STORE
","ANTAP ITERNATIONAL PTY ",9,12.35,NA,"Other","CHICKEN HEART","775","750","50","Cartons","750","KGM","CFR",211734,"31,760.00","38,775.00","15,000.00",0,"0",0,0,0,2026,207,12,2024,"December",12,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9402",NA,"IM / 4",4000,0,113577,"113577","AU BON MARCHE
","GEOFFREY HUGHES ",7,12.35,NA,"Other","CHKN CUTS 1KG-2KG","5,096.38","4,506.00","317","Cartons","4,506.00","KGM","CFR",1160964,"174,145.00","213,785.00","90,120.00",0,"0",0,2028,0,830,207,12,2024,"December",13,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"BR","BR",0,2,"VSEA","2024 / C / 9094",NA,"IM / 4",4000,0,113577,"113577","AU BON MARCHE
","SEARA ALIMENTOS LTDA
",1,12.35,NA,"Other","CHICKEN LEG KG","26,586.06","25,000.00","2,500","Cartons","25,000.00","KGM","CFR",4834045,"725,105.00","908,875.00","500,000.00",0,"0",0,8445,0,212,207,12,2024,"December",2,"SEA","I.Live animals: animal products","Food & Live Animals","BR","BR","BRAZIL","AMERICAS",2,"OTHERS","BR","BR","BRAZIL","AMERICAS",2,"OTHERS","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9380",NA,"IM / 4",4000,0,437811,"437811","CHUAN STORE
","ANTAP ITERNATIONAL PTY ",1,12.35,NA,"Other","CHICKEN COCKTAIL","1,550.00","1,500.00","100","Cartons","1,500.00","KGM","CFR",423468,"63,520.00","77,550.00","30,000.00",0,"0",0,0,0,1394,207,12,2024,"December",12,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9667",NA,"IM / 4",4000,0,113577,"113577","AU BON MARCHE
","GEOFFREY HUGHES (EXPT) ",5,12.35,NA,"Other","CHICKEN CUTS","14,806.10","14,160.00","923","Cartons","14,160.00","KGM","CFR",4152272,"622,840.00","758,745.00","283,200.00",0,"0",0,7254,0,256,207,12,2024,"December",28,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"SG","AU",0,2,"VSEA","2024 / C / 9474",NA,"IM / 4",4000,0,803753,"126254","ESAH CORPORATION
","ESFIRA PTE LTD - 5189
",3,12.35,NA,"Other","CHICKEN HEART AND PARTS","919.99","750","0","Cartons","750","KGM","CIF",159393,"23,910.00","29,745.00","15,000.00",0,"0",0,0,0,2295,207,12,2024,"December",16,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","SG","SG","SINGAPORE","ASIA",3,"SINGAPORE","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
