HS.Code,TAR_ALL,TAR_DSC,Principle Exports,Principle ReExports,Principle Imports,Classifications Combined,Unit Qty,Import Duty Rate
9083200,Crushed or ground,Crushed or ground,Other products,Other products ,Other Imports,Other products ,KGM,25
9092100,Neither crushed nor ground,Neither crushed nor ground,Other products,Other products ,Other Imports,Other products ,KGM,25
9092200,Crushed or ground,Crushed or ground,Other products,Other products ,Other Imports,Other products ,KGM,25
9093100,Neither crushed nor ground,Neither crushed nor ground,Other products,Other products ,Other Imports,Other products ,KGM,25
9093200,Crushed or ground,Crushed or ground,Other products,Other products ,Other Imports,Other products ,KGM,25
9096100,Neither crushed nor ground,Neither crushed nor ground,Other products,Other products ,Other Imports,Other products ,KGM,25
9096200,Crushed or ground,Crushed or ground,Other products,Other products ,Other Imports,Other products ,KGM,25
9101100,Neither crushed nor ground,Neither crushed nor ground,Other products,Other products ,Other Imports,Other products ,KGM,25
9101200,Crushed or ground,Crushed or ground,Other products,Other products ,Other Imports,Other products ,KGM,25
9102000,Saffron,Saffron,Other products,Other products ,Other Imports,Other products ,KGM,25
9103000,Turmeric (curcuma),Turmeric (curcuma),Other products,Other products ,Other Imports,Other products ,KGM,25
9109100,Mixtures referred to in Note 1 (b) to this Chapter,Mixtures referred to in Note 1 (b) to this Chapter,Other products,Other products ,Other Imports,Other products ,KGM,25
9109900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,25
10011100,Seed,Seed,Other products,Other products ,Other Imports,Other products ,KGM,0
10011900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
10019100,Seed,Seed,Other products,Other products ,Other Imports,Other products ,KGM,0
10019900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
10021000,Seed,Seed,Other products,Other products ,Other Imports,Other products ,KGM,0
10029000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
10031000,Seed,Seed,Other products,Other products ,Other Imports,Other products ,KGM,0
10039000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
10041000,Seed,Seed,Other products,Other products ,Other Imports,Other products ,KGM,0
10049000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
10051000,Seed,Seed,Other products,Other products ,Other Imports,Other products ,KGM,0
10059000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
10061000,Rice in the husk (paddy or rough),Rice in the husk (paddy or rough),Other products,Other products ,Rice,Rice,KGM,10
10062000,Husked (brown) rice,Husked (brown) rice,Other products,Other products ,Rice,Rice,KGM,0
10063000,"semi-milled or wholly milled rice, whether or not polished or glazed","semi-milled or wholly milled rice, whether or not polished or glazed",Other products,Other products ,Rice,Rice,KGM,15
10064000,Broken rice,Broken rice,Other products,Other products ,Rice,Rice,KGM,10
10071000,Seed,Seed,Other products,Other products ,Other Imports,Other products ,KGM,0
10079000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
10081000,Buckwheat,Buckwheat,Other products,Other products ,Other Imports,Other products ,KGM,0
10082100,Seed,Seed,Other products,Other products ,Other Imports,Other products ,KGM,0
10082900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
10083000,Canary seed,Canary seed,Other products,Other products ,Other Imports,Other products ,KGM,0
10084000,Fonio (Digitaria spp.),Fonio (Digitaria spp.),Other products,Other products ,Other Imports,Other products ,KGM,0
10085000,Quinoa (Chenopodium quinoa),Quinoa (Chenopodium quinoa),Other products,Other products ,Other Imports,Other products ,KGM,0
10086000,Triticale,Triticale,Other products,Other products ,Other Imports,Other products ,KGM,0
10089000,Other cereals,Other cereals,Other products,Other products ,Other Imports,Other products ,KGM,0
11010000,Wheat or meslin flour,Wheat or meslin flour,Other products,Other products ,Wheat or meslin flour,Wheat or meslin flour,KGM,10
11022000,Maize (corn) flour,Maize (corn) flour,Other products,Other products ,Other Imports,Other products ,KGM,5
11029000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,5
11031100,Of wheat,Of wheat,Other products,Other products ,Other Imports,Other products ,KGM,5
11031300,Of maize (corn),Of maize (corn),Other products,Other products ,Other Imports,Other products ,KGM,5
11031900,Of other cereals,Of other cereals,Other products,Other products ,Other Imports,Other products ,KGM,5
11032000,Pellets,Pellets,Other products,Other products ,Other Imports,Other products ,KGM,5
11041200,Of oats,Of oats,Other products,Other products ,Other Imports,Other products ,KGM,5
11041900,Of other cereals,Of other cereals,Other products,Other products ,Other Imports,Other products ,KGM,5
11042200,Of oats,Of oats,Other products,Other products ,Other Imports,Other products ,KGM,5
11042300,Of maize (corn),Of maize (corn),Other products,Other products ,Other Imports,Other products ,KGM,5
11042900,Of other cereals,Of other cereals,Other products,Other products ,Other Imports,Other products ,KGM,5
11043000,"Germ of cereals, whole, rolled, flaked or ground","Germ of cereals, whole, rolled, flaked or ground",Other products,Other products ,Other Imports,Other products ,KGM,5
11051000,"Flour, meal and powder.","Flour, meal and powder.",Other products,Other products ,Other Imports,Other products ,KGM,5
11052000,"Flakes, granules and pellets","Flakes, granules and pellets",Other products,Other products ,Other Imports,Other products ,KGM,5
11061000,Of the dried leguminous vegetables of heading 07.13,Of the dried leguminous vegetables of heading 07.13,Other products,Other products ,Other Imports,Other products ,KGM,5
11062000,Of sago or of roots or tubers of heading 07.14,Of sago or of roots or tubers of heading 07.14,Other products,Other products ,Other Imports,Other products ,KGM,5
11063000,Of the products of Chapter 8,Of the products of Chapter 8,Other products,Other products ,Other Imports,Other products ,KGM,5
11071000,Not roasted,Not roasted,Other products,Other products ,Other Imports,Other products ,KGM,5
11072000,Roasted,Roasted,Other products,Other products ,Other Imports,Other products ,KGM,5
11081100,Wheat starch,Wheat starch,Other products,Other products ,Other Imports,Other products ,KGM,5
11081200,Maize (corn) starch,Maize (corn) starch,Other products,Other products ,Other Imports,Other products ,KGM,5
11081300,Potato starch,Potato starch,Other products,Other products ,Other Imports,Other products ,KGM,5
11081400,Manioc (cassava) starch,Manioc (cassava) starch,Other products,Other products ,Other Imports,Other products ,KGM,5
11081900,Other starches,Other starches,Other products,Other products ,Other Imports,Other products ,KGM,5
11082000,Inulin,Inulin,Other products,Other products ,Other Imports,Other products ,KGM,5
11090000,"Wheat gluten, whether or not dried","Wheat gluten, whether or not dried",Other products,Other products ,Other Imports,Other products ,KGM,5
12011000,Seed,Seed,Other products,Other products ,Other Imports,Other products ,KGM,5
12019000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,5
12023000,Seed,Seed,Other products,Other products ,Other Imports,Other products ,KGM,5
12024100,in shell,in shell,Other products,Other products ,Other Imports,Other products ,KGM,5
12024200,"Shelled, whether or not broken","Shelled, whether or not broken",Other products,Other products ,Other Imports,Other products ,KGM,5
12030000,Copra,Copra,Copra,Other products ,Other Imports,Copra,KGM,5
12040000,"Linseed, whether or not broken","Linseed, whether or not broken",Other products,Other products ,Other Imports,Other products ,KGM,5
12051000,Low erucic acid rape or colza seeds,Low erucic acid or colza seeds,Other products,Other products ,Other Imports,Other products ,KGM,5
12059000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,5
12060000,"Sunflower seeds, whether or not broken.","Sunflower seeds, whether or not broken.",Other products,Other products ,Other Imports,Other products ,KGM,5
12071000,Palm nuts and kernels,Palm nuts and kernels,Other products,Other products ,Other Imports,Other products ,KGM,5
12072100,Seed,Seed,Other products,Other products ,Other Imports,Other products ,KGM,5
12072900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,5
12073000,Castor oil seeds,Castor oil seeds,Other products,Other products ,Other Imports,Other products ,KGM,5
12074000,Sesamum seeds,Sesamum seeds,Other products,Other products ,Other Imports,Other products ,KGM,5
12075000,Mustard seeds,Mustard seeds,Other products,Other products ,Other Imports,Other products ,KGM,5
12076000,Safflower seeds,Safflower seeds,Other products,Other products ,Other Imports,Other products ,KGM,5
12077000,Melon seeds,Melon seeds,Other products,Other products ,Other Imports,Other products ,KGM,5
12079100,Poppy seeds,Poppy seeds,Other products,Other products ,Other Imports,Other products ,KGM,5
12079900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,5
12081000,Of soya beans,Of soya beans,Other products,Other products ,Other Imports,Other products ,KGM,5
12089000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,5
12091000,Sugar beet seed,Sugar beet seed,Other products,Other products ,Other Imports,Other products ,KGM,5
12092100,Lucerne (alfala) seed,Lucerne (alfala) seed,Other products,Other products ,Other Imports,Other products ,KGM,5
12092200,Clover (Trifolium spp.) seed,Clover (Trifolium spp.) seed,Other products,Other products ,Other Imports,Other products ,KGM,5
12092300,Fescue seed,Fescue seed,Other products,Other products ,Other Imports,Other products ,KGM,5
12092400,Kentucky blue grass (Poa pratensis L.) seed,Kentucky blue grass (Poa pratensis L.) seed,Other products,Other products ,Other Imports,Other products ,KGM,5
12092500,"Rye grass (Lolium multiflorum Lam., Lolium perenne L.) seed","Rye grass (Lolium multiflorum Lam., Lolium perenne L.) seed",Other products,Other products ,Other Imports,Other products ,KGM,5
12092900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,5
12093000,Seeds of herbaceous plants cultivated principally for their flowers,Seeds of herbaceous plants cultivated principally for their flowers,Other products,Other products ,Other Imports,Other products ,KGM,5
12099100,Vegetable seeds,Vegetable seeds,Other products,Other products ,Other Imports,Other products ,KGM,5
12099900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,5
12101000,"Hop cones, neither ground nor powdered nor in the form of pellets","Hop cones, neither ground nor powdered nor in the form of pellets",Other products,Other products ,Other Imports,Other products ,KGM,5
12102000,"Hop cones, ground, powdered or in the form of pellets; lupulin","Hop cones, ground, powdered or in the form of pellets; lupulin",Other products,Other products ,Other Imports,Other products ,KGM,5
12112000,Ginseng roots,Ginseng roots,Other products,Other products ,Other Imports,Other products ,KGM,5
12113000,Coca leaf,Coca leaf,Other products,Other products ,Other Imports,Other products ,KGM,5
12114000,Poppy straw,Poppy straw,Other products,Other products ,Other Imports,Other products ,KGM,5
12115000,Ephedra,Ephedra,Other products,Other products ,Other Imports,Other products ,KGM,5
12119010,Piper metysticum (Kava) in dried chips form,Piper metysticum (Kava) in dried chips form,Kava,Other products ,Other Imports,Kava,KGM,5
12119020,Piper metysticum (kava) in powder form,Piper metysticum (kava) in powder form,Kava,Other products ,Other Imports,Kava,KGM,5
12119090,Other,Other,Kava,Other products ,Other Imports,Kava,KGM,5
12122100,Fit for human consumption,Fit for human consumption,Other products,Other products ,Other Imports,Other products ,KGM,5
12122900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,5
12129100,Sugar Beet,Sugar Beet,Other products,Other products ,Other Imports,Other products ,KGM,5
12129200,Locust beans (carob),Locust beans (carob),Other products,Other products ,Other Imports,Other products ,KGM,5
12129300,Sugar cane,Sugar cane,Other products,Other products ,Other Imports,Other products ,KGM,5
12129400,Chicory roots,Chicory roots,Other products,Other products ,Other Imports,Other products ,KGM,5
12129900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,5
12130000,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed...,","Cereal straw and husks, unprepared, whether or not chopped, ground, pressed...,",Other products,Other products ,Other Imports,Other products ,KGM,5
12141000,Lucerne (alfalfa) meal and pellets,Lucerne (alfalfa) meal and pellets,Other products,Other products ,Other Imports,Other products ,KGM,5
12149000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,5
13012000,Gum Arabic,Gum Arabic,Other products,Other products ,Other Imports,Other products ,KGM,5
13019000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,5
13021100,Opium,Opium,Other products,Other products ,Other Imports,Other products ,KGM,0
13021200,Of liquorice,Of liquorice,Other products,Other products ,Other Imports,Other products ,KGM,0
13021300,Of hops,Of hops,Other products,Other products ,Other Imports,Other products ,KGM,0
13021400,Of ephedra,Of ephedra,Other products,Other products ,Other Imports,Other products ,KGM,0
13021900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
13022000,"Pectic substances, pectinates and pectates","Pectic substances, pectinates and pectates",Other products,Other products ,Other Imports,Other products ,KGM,0
13023100,Agar-agar,Agar-agar,Other products,Other products ,Other Imports,Other products ,KGM,0
13023200,"Mucilages and thickeners, whether..., from locust beans, bean seeds and guar seeds","Mucilages and thickeners, whether..., from locust beans, bean seeds and guar seeds",Other products,Other products ,Other Imports,Other products ,KGM,0
13023900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
14011000,Bamboos,Bamboos,Other products,Other products ,Other Imports,Other products ,KGM,0
14012000,Rattans,Rattans,Other products,Other products ,Other Imports,Other products ,KGM,0
14019000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
14042000,Cotton linters,Cotton linters,Other products,Other products ,Other Imports,Other products ,KGM,0
14049000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
15011000,Lard,Lard,Other products,Other products ,Other Imports,Other products ,KGM,0
15012000,Other pig fat,Other pig fat,Other products,Other products ,Other Imports,Other products ,KGM,0
15019000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
15021000,Tallow,Tallow,Other products,Other products ,Other Imports,Other products ,KGM,0
15029000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
15030000,"Lard stearin, lard oil, oleostearin,oleo-oil and tallow oil,not emulsified or mixed or","Lard stearin, lard oil, oleostearin,oleo-oil and tallow oil,not emulsified or mixed or",Other products,Other products ,Other Imports,Other products ,KGM,0
15041000,Fish-liver oils and their fractions,Fish-liver oils and their fractions,Other products,Other products ,Other Imports,Other products ,KGM,0
15042000,"Fats and oils and their fractions, of fish other liver oils","Fats and oils and their fractions, of fish other liver oils",Other products,Other products ,Other Imports,Other products ,KGM,0
15043000,"Fats and oils and their fractions,of marine mammals","Fats and oils and their fractions,of marine mammals",Other products,Other products ,Other Imports,Other products ,KGM,0
15050000,Wool grease and fatty substances derived therefrom (inlcuding lanolin).,Wool grease and fatty substances derived therefrom (inlcuding lanolin).,Other products,Other products ,Other Imports,Other products ,KGM,0
15060000,Other animal fats and oils and their fractions,Other animal fats and oils and their fractions,Other products,Other products ,Other Imports,Other products ,KGM,0
15071000,"Crude oil, whether or not degummed","Crude oil, whether or not degummed",Other products,Other products ,Other Imports,Other products ,KGM,10
15079000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,10
15081000,Crude oil,Crude oil,Other products,Other products ,Other Imports,Other products ,KGM,10
15089000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,10
15091000,Virgin,Virgin,Other products,Other products ,Other Imports,Other products ,KGM,0
15099000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,0
15100000,"Other oils and their fractions, obtained solely from olives,whether or not refined","Other oils and their fractions, obtained solely from olives,whether or not refined",Other products,Other products ,Other Imports,Other products ,KGM,10
15111000,Crude oil,Crude oil,Other products,Other products ,Other Imports,Other products ,KGM,10
15119000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,10
15121100,Crude oil,Crude oil,Other products,Other products ,Other Imports,Other products ,KGM,10
15121900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,10
15122100,"Crude oil,whether or not gossypol has been removed","Crude oil,whether or not gossypol has been removed",Other products,Other products ,Other Imports,Other products ,KGM,10
15122900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,10
15131100,Crude oil,Crude oil,Coconut Oil,Other products ,Other Imports,Coconut Oil,KGM,10
15131900,Other,Other,Coconut Oil,Other products ,Other Imports,Coconut Oil,KGM,10
15132100,Crude oil,Crude oil,Coconut Oil,Other products ,Other Imports,Coconut Oil,KGM,10
15132900,Other,Other,Coconut Oil,Other products ,Other Imports,Coconut Oil,KGM,10
15141100,Crude oil,Crude oil,Other products,Other products ,Other Imports,Other products ,KGM,10
15141900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,10
15149100,Crude oil,Crude oil,Other products,Other products ,Other Imports,Other products ,KGM,10
15149900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,10
15151100,Crude oil,Crude oil,Other products,Other products ,Other Imports,Other products ,KGM,10
15151900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,10
15152100,Crude oil,Crude oil,Other products,Other products ,Other Imports,Other products ,KGM,10
15152900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,10
15153000,Castor oil and its fractions,Castor oil and its fractions,Other products,Other products ,Other Imports,Other products ,KGM,10
15155000,Sesame oil and fractions,Sesame oil and fractions,Other products,Other products ,Other Imports,Other products ,KGM,10
15159000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,10
15161000,Animal fats and oils and fractions,Animal fats and oils and fractions,Other products,Other products ,Other Imports,Other products ,KGM,10
15162000,Vegetable fats and oils and their fractions,Vegetable fats and oils and their fractions,Other products,Other products ,Other Imports,Other products ,KGM,10
15171000,"Margarine, excluding liquid margarine","Margarine, excluding liquid margarine",Other products,Other products ,Other Imports,Other products ,KGM,0
15179000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,5
15180000,"Animal or vegetable fats and oils and their fractions,boiled,oxidized,dehydrated","Animal or vegetable fats and oils and their fractions,boiled,oxidized,dehydrated",Other products,Other products ,Other Imports,Other products ,KGM,5
15200000,"Glycerol, crude;glycerol waters and glycerol lyes","Glycerol, crude;glycerol waters and glycerol lyes",Other products,Other products ,Other Imports,Other products ,KGM,5
15211000,Vegetable waxes,Vegetable waxes,Other products,Other products ,Other Imports,Other products ,KGM,5
15219000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,5
15220000,Degras; residues resulting from the treatment of fatty substances or animal or vegetable,Degras; residues resulting from the treatment of fatty substances or animal or vegetabl,Other products,Other products ,Other Imports,Other products ,KGM,5
16010000,"Sausages and similar products, of meat, meat offal or blood; food preparations based on","Sausages and similar products, of meat, meat offal or blood; food preparations based on",Other products,Other products ,Other Imports,Other products ,KGM,20
16021000,Homogenised preparations,Homogenised preparations,Other products,Other products ,"Other prepared or preserved meat, meat offal or blood","Other prepared or preserved meat, meat offal or blood",KGM,20
16022000,Of liver of any animal,Of liver of any animal,Other products,Other products ,"Other prepared or preserved meat, meat offal or blood","Other prepared or preserved meat, meat offal or blood",KGM,20
16023100,Of turkeys,Of turkeys,Other products,Other products ,"Other prepared or preserved meat, meat offal or blood","Other prepared or preserved meat, meat offal or blood",KGM,20
16023200,Of fowls of the species Gallus domesticus,Of fowls of the species Gallus domesticus,Other products,Other products ,"Other prepared or preserved meat, meat offal or blood","Other prepared or preserved meat, meat offal or blood",KGM,20
16023900,Other,Other,Other products,Other products ,"Other prepared or preserved meat, meat offal or blood","Other prepared or preserved meat, meat offal or blood",KGM,20
16024100,Hams and cuts thereof,Hams and cuts thereof,Other products,Other products ,"Other prepared or preserved meat, meat offal or blood","Other prepared or preserved meat, meat offal or blood",KGM,20
16024200,Shoulders and cuts thereof,Shoulders and cuts thereof,Other products,Other products ,"Other prepared or preserved meat, meat offal or blood","Other prepared or preserved meat, meat offal or blood",KGM,20
16024900,"Other, including mixtures","Other, including mixtures",Other products,Other products ,"Other prepared or preserved meat, meat offal or blood","Other prepared or preserved meat, meat offal or blood",KGM,20
16025010,Canned beef,Canned beef,Other products,Other products ,"Other prepared or preserved meat, meat offal or blood","Other prepared or preserved meat, meat offal or blood",KGM,20
16025090,Other,Other,Other products,Other products ,"Other prepared or preserved meat, meat offal or blood","Other prepared or preserved meat, meat offal or blood",KGM,20
16029010,Canned mutton,Canned meat of sheep or lamb,Other products,Other products ,"Other prepared or preserved meat, meat offal or blood","Other prepared or preserved meat, meat offal or blood",KGM,20
16029020,Canned meat mixtures of beef and mutton,Canned meat mixtures of beef and sheep,Other products,Other products ,"Other prepared or preserved meat, meat offal or blood","Other prepared or preserved meat, meat offal or blood",KGM,20
16029030,Corned meat of other animals,Corned meat of other animals,Other products,Other products ,"Other prepared or preserved meat, meat offal or blood","Other prepared or preserved meat, meat offal or blood",KGM,20
16029090,Other,Other,Other products,Other products ,"Other prepared or preserved meat, meat offal or blood","Other prepared or preserved meat, meat offal or blood",KGM,20
16030000,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquati invertebrates","Extracts and juices of meat, fish or crustaceans, molluscs or other aquati invertebrats",Other products,Other products ,Other Imports,Other products ,KGM,20
16041100,Salmon,Salmon,Other products,Other products ,Prepared or preserved fish,Prepared or preserved fish,KGM,20
16041200,Herrings,Herrings,Other products,Other products ,Prepared or preserved fish,Prepared or preserved fish,KGM,20
16041300,"Sardines, sardinella and brisling or sprats","Sardines, sardinella and brisling or sprats",Other products,Other products ,Prepared or preserved fish,Prepared or preserved fish,KGM,20
16041400,"Tunas, skipjack and bonito (Sarda spp.)","Tunas, skipjack and bonito (Sarda spp.)",Other products,Other products ,Prepared or preserved fish,Prepared or preserved fish,KGM,20
16041500,Mackerel,Mackerel,Other products,Other products ,Prepared or preserved fish,Prepared or preserved fish,KGM,20
16041600,Anchovies,Anchovies,Other products,Other products ,Prepared or preserved fish,Prepared or preserved fish,KGM,20
16041700,Eels,Eels,Other products,Other products ,Prepared or preserved fish,Prepared or preserved fish,KGM,20
16041800,Shark fins,Shark fins,Other products,Other products ,Prepared or preserved fish,Prepared or preserved fish,KGM,20
16041900,Other,Other,Other products,Other products ,Prepared or preserved fish,Prepared or preserved fish,KGM,20
16042000,Other prepared or preserved fish,Other prepared or preserved fish,Other products,Other products ,Prepared or preserved fish,Prepared or preserved fish,KGM,20
16043100,Caviar,Caviar,Other products,Other products ,Prepared or preserved fish,Prepared or preserved fish,KGM,20
16043200,Caviar substitutes,Caviar substitutes,Other products,Other products ,Prepared or preserved fish,Prepared or preserved fish,KGM,20
16051000,Crab,Crab,Other products,Other products ,Other Imports,Other products ,KGM,20
16052100,Not in airtight container,Not in airtight container,Other products,Other products ,Other Imports,Other products ,KGM,20
16052900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,20
16053000,Lobster,Lobster,Other products,Other products ,Other Imports,Other products ,KGM,20
16054000,Other crustaceans,Other crustaceans,Other products,Other products ,Other Imports,Other products ,KGM,20
16055100,Oysters,Oysters,Other products,Other products ,Other Imports,Other products ,KGM,20
16055200,"Scallops, including queen scallops","Scallops, including queen scallops",Other products,Other products ,Other Imports,Other products ,KGM,20
16055300,Mussels,Mussels,Other products,Other products ,Other Imports,Other products ,KGM,20
16055400,Cuttle fish and squid,Cuttle fish and squid,Other products,Other products ,Other Imports,Other products ,KGM,20
16055500,Octopus,Octopus,Other products,Other products ,Other Imports,Other products ,KGM,20
16055600,"Clams, cockles and arkshells","Clams, cockles and arkshells",Other products,Other products ,Other Imports,Other products ,KGM,20
16055700,Abalone,Abalone,Other products,Other products ,Other Imports,Other products ,KGM,20
16055800,"Snails, other than sea snails","Snails, other than sea snails",Other products,Other products ,Other Imports,Other products ,KGM,20
16055900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,20
16056100,Sea cucumbers,Sea cucumbers,Other products,Other products ,Other Imports,Other products ,KGM,20
16056200,Sea urchins,Sea urchins,Other products,Other products ,Other Imports,Other products ,KGM,20
16056300,Jellyfish,Jellyfish,Other products,Other products ,Other Imports,Other products ,KGM,20
16056900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,20
17011200,Beet sugar,Beet sugar,Other products,Other products ,Sugar,Sugar,KGM,10
17011300,Cane sugar specified in subheading Note 2 to this Chapter,Cane sugar specified in subheading Note 2 to this Chapter,Other products,Other products ,Sugar,Sugar,KGM,10
17011400,Other cane sugar,Other cane sugar,Other products,Other products ,Sugar,Sugar,KGM,10
17019100,Containing added flavouring or colouring matter,Containing added flavouring or colouring matter,Other products,Other products ,Sugar,Sugar,KGM,10
17019900,Other,Other,Other products,Other products ,Sugar,Sugar,KGM,10
17021100,"Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated","Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated",Other products,Other products ,Other Imports,Other products ,KGM,10
17021900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,10
17022000,Maple sugar and maple syrup,Maple sugar and maple syrup,Other products,Other products ,Other Imports,Other products ,KGM,10
17023000,"Glucose and glucose syrup, not containing fructose or containin in the dry state less","Glucose and glucose syrup, not containing fructose or containin in the dry state less",Other products,Other products ,Other Imports,Other products ,KGM,10
17024000,"Glucose and glucose syrup, containing in the dry state at least 20% but less that 50%","Glucose and glucose syrup, containing in the dry state at least 20% but less that 50%",Other products,Other products ,Other Imports,Other products ,KGM,10
17025000,Chemically pure fructose,Chemically pure fructose,Other products,Other products ,Other Imports,Other products ,KGM,10
17026000,"Other fructose and fructose syrup, containing in the dry state more than 50% by weight","Other fructose and fructose syrup, containing in the dry state more than 50% by weight",Other products,Other products ,Other Imports,Other products ,KGM,10
17029000,"Other, including invert sugar and other sugar syrup blends containing in the dry state","Other, including invert sugar and other sugar syrup blends containing in the dry state",Other products,Other products ,Other Imports,Other products ,KGM,10
17031000,Cane molasses,Cane molasses,Other products,Other products ,Other Imports,Other products ,KGM,10
17039000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,10
17041000,"Chewing gum, whether or not sugar-coated","Chewing gum, whether or not sugar-coated",Other products,Other products ,Other Imports,Other products ,KGM,10
17049000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,10
18010000,"Cocoa beans, whole or broken, raw or roasted.","Cocoa beans, whole or broken, raw or roasted.",Cocoa,Other products ,Other Imports,Cocoa,NMB,20
18020000,"Cocoa shells, husks, skins and other cocoa waste.","Cocoa shells, husks, skins and other cocoa waste.",Other products,Other products ,Other Imports,Other products ,KGM,20
18031000,Not defatted,Not defatted,Other products,Other products ,Other Imports,Other products ,KGM,20
18032000,Wholly or partly defatted,Wholly or partly defatted,Other products,Other products ,Other Imports,Other products ,KGM,20
18040000,"Cocoa butter, fat and oil.","Cocoa butter, fat and oil.",Other products,Other products ,Other Imports,Other products ,KGM,20
18050000,"Cocoa powder, not containing added sugar or other sweetening matter.","Cocoa powder, not containing added sugar or other sweetening matter.",Other products,Other products ,Other Imports,Other products ,KGM,20
18061000,"Cocoa powder, containing added sugar or other sweetening matter","Cocoa powder, containing added sugar or other sweetening matter",Other products,Other products ,Other Imports,Other products ,NMB,20
18062000,"Other preparations in blocks, slabs or bars weighing more than 2 kg or in liquid,","Other preparations in blocks, slabs or bars weighing more than 2 kg or in liquid,",Other products,Other products ,Other Imports,Other products ,NMB,20
18063100,Filled,Filled,Other products,Other products ,Other Imports,Other products ,NMB,20
18063200,Not filled,Not filled,Other products,Other products ,Other Imports,Other products ,NMB,20
18069000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,20
19011000,"Preparations suitable for infants or young children, put up for retail sale","Preparations suitable for infants or young children, put up for retail sale",Other products,Other products ,Other Imports,Other products ,KGM,10
19012000,Mixes and doughs for preparation of bakers' wares of 19.05,Mixes and doughs for preparation of bakers' wares of 19.05,Other products,Other products ,Other Imports,Other products ,KGM,10
19019000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,10
19021100,Containing eggs,Containing eggs,Other products,Other products ,"Pasta, whether cooked or stuffed or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous","Pasta, whether cooked or stuffed or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous",KGM,10
19021900,Other,Other,Other products,Other products ,"Pasta, whether cooked or stuffed or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous","Pasta, whether cooked or stuffed or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous",KGM,10
