HS.Code,TAR_ALL,TAR_DSC,Principle Exports,Principle ReExports,Principle Imports,Classifications Combined,Unit Qty,Import Duty Rate
87042129,"With engines of a cylinder capacity exceeding 1,500cc but not exceeding 2,500cc new","With engines of a cylinder capacity exceeding 1,500cc but not exceeding 2,500cc new",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,15
87042131,"With engines of a cylinder capacity exceeding 2,500cc, new","With engines of a cylinder capacity exceeding 2,500cc, new",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,20
87042132,"With engines of a cylinder capcity not exceeding 2,500cc, used or reconditioned","With engines of a cylinder capcity not exceeding 2,500cc, used or reconditioned",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,20
87042133,"With engines of a cylinder capcity  exceeding 2,500cc, used or reconditioned","With engines of a cylinder capcity exceeding 2,500cc, used or reconditioned",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,15
87042134,"With engines of a cylinder capcity  exceeding 2,500cc, used or reconditioned","With engines of a cylinder capcity exceeding 2,500cc, used or reconditioned",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,20
87042135,"With engines of a cylinder capacity not exceeding 1,500cc, new",NULL,Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NULL,NULL
87042139,"With engines of a cylinder capacity not exceeding 1,500cc, new","With engines of a cylinder capacity not exceeding 1,500cc, new",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,10
87042141,"With engines of a cylinder capacity exceeding 1,500cc but not exceeding 2,500cc new","With engines of a cylinder capacity exceeding 1,500cc but not exceeding 2,500cc new",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,15
87042142,"With engines of a cylinder capcity exceeding 1,500cc but not > 2,500cc, used or ...","With engines of a cylinder capcity exceeding 1,500cc but not > 2,500cc, used or ...",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,15
87042143,"With engine of a cylinder capacity exceeding 2,500cc, new","With engine of a cylinder capacity exceeding 2,500cc, new",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,20
87042144,"With engines of a cylinder capcity exceeding 2,500cc, used or reconditioned","With engines of a cylinder capcity exceeding 2,500cc, used or reconditioned",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,20
87042145,"With engines of a cylinder capacity not exceeding 1,500cc, new",NULL,Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NULL,NULL
87042149,"With engines of a cylinder capacity not exceeding 1,500cc, new","With engines of a cylinder capacity not exceeding 1,500cc, new",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,5
87042151,"With engines of a cylinder capacity exceeding 1,500cc but not exceeding 2,500cc new","With engines of a cylinder capacity exceeding 1,500cc but not exceeding 2,500cc new",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,5
87042152,"With engines of a cylinder capcity exceeding 1,500cc but not > 2,500cc, used or ...","With engines of a cylinder capcity exceeding 1,500cc but not > 2,500cc, used or ...",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,5
