Year,Month,Food.sub.category,total
2012,February,Crisps and snacks,7858084
2012,February,Electrolyte drinks,3612005
2012,February,Noodles,13240777
2012,February,Processed Meats,4586403
2012,February,Soft Drinks,3619247
2012,February,Sugar,5613294
2012,January,Bakery products,44562426
2012,January,Canned Meats,13075274
2012,January,Confectionary,28341845
2012,January,Cordial,7100527
2012,January,Crisps and snacks,14151733
2012,January,Electrolyte drinks,38214777
2012,January,Noodles,26119105
2012,January,Processed Meats,13028370
2012,January,Soft Drinks,38238756
2012,January,Sugar,12935196
2012,July,Bakery products,33815624
2012,July,Canned Meats,40996041
2012,July,Confectionary,18288536
2012,July,Cordial,6201797
2012,July,Crisps and snacks,10732272
2012,July,Electrolyte drinks,18527529
2012,July,Noodles,25910458
2012,July,Processed Meats,40979682
2012,July,Soft Drinks,18632975
2012,July,Sugar,14208946
2012,June,Bakery products,25284938
2012,June,Canned Meats,1275705
2012,June,Confectionary,23590108
2012,June,Cordial,10794820
2012,June,Crisps and snacks,6295952
2012,June,Electrolyte drinks,13853696
2012,June,Noodles,16939528
2012,June,Processed Meats,1233633
2012,June,Soft Drinks,14400667
2012,June,Sugar,18647150
2012,March,Bakery products,53803011
2012,March,Canned Meats,27501103
2012,March,Confectionary,27735173
2012,March,Cordial,8619982
2012,March,Crisps and snacks,10935090
2012,March,Electrolyte drinks,14425685
2012,March,Noodles,24228561
2012,March,Processed Meats,27484430
2012,March,Soft Drinks,14399567
2012,March,Sugar,6222461
2012,May,Bakery products,71424244
2012,May,Canned Meats,25627374
2012,May,Confectionary,33231670
2012,May,Cordial,12314109
2012,May,Crisps and snacks,14119966
2012,May,Electrolyte drinks,15206450
2012,May,Noodles,28577029
2012,May,Processed Meats,25460092
2012,May,Soft Drinks,15851963
2012,May,Sugar,7468468
2012,November,Bakery products,44426782
2012,November,Canned Meats,42263299
2012,November,Confectionary,38075465
2012,November,Cordial,10678424
2012,November,Crisps and snacks,15865189
2012,November,Electrolyte drinks,18768834
2012,November,Noodles,26407284
2012,November,Processed Meats,42067246
2012,November,Soft Drinks,18281458
2012,November,Sugar,3017572
2012,October,Bakery products,53224615
2012,October,Canned Meats,16956345
2012,October,Confectionary,20014129
2012,October,Cordial,7129197
2012,October,Crisps and snacks,6311227
2012,October,Electrolyte drinks,22866646
2012,October,Noodles,11377780
2012,October,Processed Meats,16951342
2012,October,Soft Drinks,23289584
2012,October,Sugar,12545760
2012,September,Bakery products,51824358
2012,September,Canned Meats,2954764
2012,September,Confectionary,29990941
2012,September,Cordial,9923094
2012,September,Crisps and snacks,17153873
2012,September,Electrolyte drinks,7138236
2012,September,Noodles,29559224
2012,September,Processed Meats,2913142
2012,September,Soft Drinks,6900701
2012,September,Sugar,6151884
2013,April,Bakery products,54690227
2013,April,Canned Meats,5433994
2013,April,Confectionary,48106813
2013,April,Cordial,13631715
2013,April,Crisps and snacks,23251385
2013,April,Electrolyte drinks,47284069
2013,April,Noodles,30071489
2013,April,Processed Meats,5261259
2013,April,Soft Drinks,46738990
2013,April,Sugar,21566995
2013,August,Bakery products,88698811
2013,August,Canned Meats,26682438
2013,August,Confectionary,31438040
2013,August,Cordial,16924292
2013,August,Crisps and snacks,16527741
2013,August,Electrolyte drinks,26218963
2013,August,Noodles,27511685
2013,August,Processed Meats,26588369
2013,August,Soft Drinks,26260431
2013,August,Sugar,5565789
2013,December,Bakery products,66729145
2013,December,Canned Meats,21956043
2013,December,Confectionary,34863527
2013,December,Cordial,10571034
2013,December,Crisps and snacks,10617802
2013,December,Electrolyte drinks,46675077
2013,December,Noodles,26593296
2013,December,Processed Meats,21799493
2013,December,Soft Drinks,46382776
2013,December,Sugar,13111654
2013,February,Bakery products,60262979
2013,February,Canned Meats,18259491
2013,February,Confectionary,31443162
2013,February,Cordial,8585626
2013,February,Crisps and snacks,9862630
2013,February,Electrolyte drinks,12493021
2013,February,Noodles,26493840
2013,February,Processed Meats,18095454
2013,February,Soft Drinks,12099288
2013,February,Sugar,8484304
2013,January,Bakery products,100272791
2013,January,Canned Meats,63474905
2013,January,Confectionary,34367523
2013,January,Cordial,11885730
2013,January,Crisps and snacks,15841215
2013,January,Electrolyte drinks,22546889
2013,January,Noodles,33991081
2013,January,Processed Meats,63287906
2013,January,Soft Drinks,22740495
2013,January,Sugar,24882145
2013,July,Bakery products,19150243
2013,July,Canned Meats,5830420
2013,July,Confectionary,29344970
2013,July,Cordial,16247382
2013,July,Crisps and snacks,14384426
2013,July,Electrolyte drinks,19189681
2013,July,Noodles,23154227
2013,July,Processed Meats,5731272
2013,July,Soft Drinks,19867205
2013,July,Sugar,23820167
2013,June,Bakery products,35694085
2013,June,Canned Meats,28257184
2013,June,Confectionary,25747713
2013,June,Cordial,12795665
2013,June,Crisps and snacks,8122096
2013,June,Electrolyte drinks,24411534
2013,June,Noodles,16550986
2013,June,Processed Meats,16438172
2013,June,Soft Drinks,24517213
2013,June,Sugar,9193514
2013,March,Bakery products,30227481
2013,March,Canned Meats,13855868
2013,March,Confectionary,30473458
2013,March,Cordial,11314839
2013,March,Crisps and snacks,14564583
2013,March,Electrolyte drinks,13611145
2013,March,Noodles,26252657
2013,March,Processed Meats,13770518
2013,March,Soft Drinks,14219334
2013,March,Sugar,14447235
2013,May,Bakery products,48540969
2013,May,Canned Meats,15427856
2013,May,Confectionary,22624647
2013,May,Cordial,7664979
2013,May,Crisps and snacks,11003376
2013,May,Electrolyte drinks,8638474
2013,May,Noodles,20029695
2013,May,Processed Meats,15337100
2013,May,Soft Drinks,8616418
2013,May,Sugar,14054052
2013,November,Bakery products,100290291
2013,November,Canned Meats,24330494
2013,November,Confectionary,39142349
2013,November,Cordial,16752181
2013,November,Crisps and snacks,17777067
2013,November,Electrolyte drinks,19364573
2013,November,Noodles,26369942
2013,November,Processed Meats,24045441
2013,November,Soft Drinks,19408463
2013,November,Sugar,8871900
2013,October,Bakery products,75631684
2013,October,Canned Meats,24361238
2013,October,Confectionary,26988785
2013,October,Cordial,10777588
2013,October,Crisps and snacks,15927362
2013,October,Electrolyte drinks,14301575
2013,October,Noodles,29919531
2013,October,Processed Meats,24144779
2013,October,Soft Drinks,15175746
2013,October,Sugar,15980567
2013,September,Bakery products,26616546
2013,September,Canned Meats,3118776
2013,September,Confectionary,16583038
2013,September,Cordial,8501295
2013,September,Crisps and snacks,7803941
2013,September,Electrolyte drinks,10092188
2013,September,Noodles,18450225
2013,September,Processed Meats,3002002
2013,September,Soft Drinks,10377604
2013,September,Sugar,5292321
2014,April,Bakery products,36239540
